Type,adjusted_time_hours,Price
ask,491.0,154.45920903954803
ask,492.0,152.2662611137108
ask,493.0,149.33837561089132
ask,494.0,147.32559861762527
ask,495.0,148.30977734753145
ask,496.0,148.86831683168316
ask,497.0,146.27491733585262
ask,498.0,149.41011764705883
ask,499.0,149.45813148788926
ask,500.0,148.49005847953217
ask,501.0,148.48979591836735
ask,502.0,151.40753178220197
ask,503.0,154.5572618427902
ask,504.0,154.46312971525919
ask,505.0,149.98216528510426
ask,506.0,149.68326848249026
ask,507.0,149.1043211454871
ask,508.0,150.425907000511
ask,509.0,150.9882669274016
ask,510.0,151.79008016032063
ask,511.0,153.959488787075
ask,512.0,151.74484356894553
ask,513.0,152.52096236303
ask,514.0,152.58072916666666
ask,515.0,152.74371491335123
ask,516.0,152.61889085844518
ask,517.0,151.33661902414983
ask,518.0,153.36322049405305
ask,519.0,155.85235702321128
ask,520.0,157.09266215877787
ask,521.0,156.1434150574962
ask,522.0,154.6654019445103
ask,523.0,154.86061472480344
ask,524.0,157.75676982591875
ask,525.0,159.25469232596816
ask,526.0,156.63764434180138
ask,527.0,154.82186335403728
ask,528.0,154.38071547026772
ask,529.0,153.73500870863398
ask,530.0,153.29808885579547
ask,531.0,150.8095838587642
ask,532.0,150.57745398773005
ask,533.0,151.50873253493015
ask,534.0,149.6331346841478
ask,535.0,149.0271674935034
ask,536.0,151.46755680487234
ask,537.0,149.3956350127699
ask,538.0,147.5375029954469
ask,539.0,146.73895781637717
ask,540.0,147.55169082125605
ask,541.0,146.78862606945142
ask,542.0,146.14249233912156
ask,543.0,146.4006833712984
ask,544.0,146.54486316733963
ask,545.0,147.93402609956502
ask,546.0,148.76437587657784
ask,547.0,150.31312375249502
ask,548.0,150.83313325330133
ask,549.0,153.59460141271444
ask,550.0,157.02231237322516
ask,551.0,159.9624685138539
ask,552.0,159.7867764813544
ask,553.0,159.10876747141043
ask,554.0,160.86571798188874
ask,555.0,159.84581497797356
ask,556.0,160.78011103065413
ask,557.0,160.56330570902395
ask,558.0,161.4785875281743
ask,559.0,161.63795083850218
ask,560.0,163.22081686429513
ask,561.0,165.074451584312
ask,562.0,168.2015181194907
ask,563.0,166.43398058252427
ask,564.0,164.9062119366626
ask,565.0,163.3963627885288
ask,566.0,160.23912003825922
ask,567.0,158.94673833374054
ask,568.0,159.25173986081114
ask,569.0,155.60796945836316
ask,570.0,156.17193579766536
ask,571.0,157.4336863338376
ask,572.0,157.12596465023648
ask,573.0,163.04541086016337
ask,574.0,163.80150187734668
ask,575.0,164.42095391211146
ask,576.0,170.8913043478261
ask,577.0,170.2905477980666
ask,578.0,167.97868396663577
ask,579.0,169.06105118200597
ask,580.0,166.89425618841625
ask,581.0,168.68952075212107
ask,582.0,166.84921014839637
ask,583.0,165.13383072977385
ask,584.0,164.77914252607184
ask,585.0,164.57288382245937
ask,586.0,162.31998322499476
ask,587.0,161.40144623279681
ask,588.0,161.59205266870444
ask,589.0,157.48731214584873
ask,590.0,157.28060854865976
ask,591.0,155.5335069855553
ask,592.0,151.91970278044104
ask,593.0,151.017843866171
ask,594.0,147.2128805620609
ask,595.0,143.99467312348668
ask,596.0,146.4036203522505
ask,597.0,146.87541846006695
ask,598.0,145.95019436345967
ask,599.0,144.32993110487368
ask,600.0,146.74926108374385
ask,601.0,145.32680047225503
ask,602.0,146.4005961935336
ask,603.0,145.9558893657606
ask,604.0,148.4075750357313
ask,605.0,151.8836571998007
ask,606.0,150.46635674088574
ask,607.0,151.9258584807492
ask,608.0,156.8926963481741
ask,609.0,155.09234053909793
ask,610.0,155.97089552238805
ask,611.0,158.15728351426407
ask,612.0,154.7380845323741
ask,613.0,152.9861003861004
ask,614.0,151.73719806763285
ask,615.0,149.2716777834787
ask,616.0,146.86884854276158
ask,617.0,147.2959981600736
ask,618.0,147.50205562273277
ask,619.0,145.10780580675868
ask,620.0,146.685618729097
ask,621.0,148.42751549833096
ask,622.0,149.49098693105003
ask,623.0,148.17001028806584
ask,624.0,149.64764860348532
ask,625.0,152.50587964030436
ask,626.0,149.92477668077103
ask,627.0,148.23491379310346
ask,628.0,150.61607554122523
ask,629.0,150.35819793205317
ask,630.0,152.29725
ask,631.0,150.82206498951783
ask,632.0,151.11240694789083
ask,633.0,153.69125549584757
ask,634.0,156.76594167078596
ask,635.0,157.5196609371321
ask,636.0,158.08476312419975
ask,637.0,160.97683889030287
ask,638.0,158.80387185987556
ask,639.0,159.687369519833
ask,640.0,159.24744964687417
ask,641.0,159.9222731906218
ask,642.0,165.82630937880634
ask,643.0,165.94312911886746
ask,644.0,165.02202643171807
ask,645.0,164.18231046931407
ask,646.0,178.63254837957567
ask,647.0,178.54262616364528
ask,648.0,181.6059375792946
ask,649.0,185.75351327236226
ask,650.0,185.21574803149608
ask,651.0,184.85
ask,652.0,185.55467980295566
ask,653.0,185.93504030346136
ask,654.0,184.99677819083024
ask,655.0,182.32910775231593
ask,656.0,183.23174454097207
ask,657.0,180.30937648738697
ask,658.0,176.79337782340863
ask,659.0,180.41078021166626
ask,660.0,179.8476821192053
ask,661.0,178.81690476190477
ask,662.0,177.03495440729483
ask,663.0,173.6547475235564
ask,664.0,173.94477172312224
ask,665.0,172.93865030674846
ask,666.0,173.43498706795202
ask,667.0,174.5369517809547
ask,668.0,173.29124656278643
ask,669.0,169.2514450867052
ask,670.0,169.1213803088803
ask,671.0,170.06238229755178
ask,672.0,169.26425269645608
ask,673.0,167.82227848101266
ask,674.0,167.08764940239044
ask,675.0,165.24530436750396
ask,676.0,162.3707424650821
ask,677.0,161.14560113824993
ask,678.0,162.921753875969
ask,679.0,160.35450027609056
ask,680.0,160.5193181818182
ask,681.0,163.1464887993959
ask,682.0,168.56638189794504
ask,683.0,171.30349085727855
ask,684.0,171.96587112171838
ask,685.0,172.0467678746327
ask,686.0,174.0368820298195
ask,687.0,176.92538011695908
ask,688.0,181.4123735050598
ask,689.0,186.83149753925474
ask,690.0,185.40451427306925
ask,691.0,186.25531914893617
ask,692.0,187.9229726677208
ask,693.0,188.34779676258992
ask,694.0,188.13054412437128
