Time,Type,Price,Volume
379.006,bid,108,1
380.091,ask,674,1
380.091,bid,31,4
381.052,ask,674,1
381.052,bid,99,2
382.106,ask,377,1
382.106,bid,99,2
383.067,ask,397,4
383.067,bid,288,4
384.028,ask,374,1
384.028,bid,158,4
385.113,ask,600,1
385.113,bid,270,2
386.167,ask,747,4
386.167,bid,190,4
387.004,ask,635,3
387.004,bid,106,4
388.151,ask,635,3
388.151,bid,339,5
389.112,ask,735,2
389.112,bid,148,4
390.073,ask,665,1
390.073,bid,244,4
391.034,ask,665,1
391.034,bid,205,4
392.026,ask,789,2
392.026,bid,130,1
393.08,ask,381,2
393.08,bid,99,4
394.01,ask,597,2
394.01,bid,2,1
395.033,ask,555,1
395.033,bid,67,4
396.087,ask,619,3
396.087,bid,101,5
397.048,ask,747,3
397.048,bid,13,4
398.04,ask,664,3
398.04,bid,143,1
399.032,ask,502,1
399.032,bid,123,2
400.024,ask,706,3
400.024,bid,24,1
401.078,ask,647,3
401.078,bid,24,1
402.132,ask,647,3
402.132,bid,110,2
403.062,ask,591,1
403.062,bid,231,2
404.333,ask,591,1
404.333,bid,168,2
405.046,ask,591,1
405.046,bid,73,2
406.038,ask,620,1
406.038,bid,73,2
407.03,ask,783,1
407.03,bid,58,1
408.115,ask,787,1
408.115,bid,58,1
409.014,ask,787,1
409.014,bid,6,1
410.006,ask,490,1
410.006,bid,6,1
411.029,ask,548,1
411.029,bid,76,6
412.052,ask,742,1
412.052,bid,114,6
413.199,ask,548,1
413.199,bid,114,6
414.16,ask,372,4
414.16,bid,79,6
415.059,ask,429,1
415.059,bid,153,2
416.144,ask,729,1
416.144,bid,41,3
417.012,ask,649,2
417.012,bid,283,2
418.066,ask,727,2
418.066,bid,170,2
419.027,ask,659,2
419.027,bid,165,3
420.081,ask,659,2
420.081,bid,51,6
421.011,ask,371,2
421.011,bid,132,2
422.003,ask,371,2
422.003,bid,78,3
423.057,ask,370,2
423.057,bid,12,6
424.111,ask,519,1
424.111,bid,41,3
425.134,ask,791,1
425.134,bid,83,2
426.095,ask,636,2
426.095,bid,222,6
427.025,ask,682,1
427.025,bid,58,2
428.079,ask,791,2
428.079,bid,103,3
429.009,ask,505,4
429.009,bid,103,3
430.094,ask,493,2
430.094,bid,278,3
431.055,ask,587,2
431.055,bid,30,1
432.295,ask,752,2
432.295,bid,15,5
433.039,ask,752,2
433.039,bid,55,3
434.0,ask,382,3
434.0,bid,45,5
435.147,ask,570,4
435.147,bid,61,3
436.015,ask,380,1
436.015,bid,364,13
437.007,ask,776,1
437.007,bid,213,5
438.061,ask,764,4
438.061,bid,201,2
439.084,ask,380,1
439.084,bid,46,5
440.045,ask,610,2
440.045,bid,46,5
441.13,ask,602,4
441.13,bid,46,5
442.029,ask,628,2
442.029,bid,62,3
443.021,ask,375,2
443.021,bid,62,3
444.044,ask,373,2
444.044,bid,61,3
445.036,ask,770,2
445.036,bid,104,1
446.121,ask,553,5
446.121,bid,104,1
447.02,ask,553,5
447.02,bid,285,1
448.136,ask,624,5
448.136,bid,209,10
449.19,ask,591,2
449.19,bid,83,5
450.089,ask,570,5
450.089,bid,55,3
451.112,ask,391,4
451.112,bid,55,3
452.197,ask,372,1
452.197,bid,59,10
453.065,ask,582,2
453.065,bid,12,11
454.026,ask,371,1
454.026,bid,19,11
455.018,ask,371,1
455.018,bid,68,11
456.072,ask,445,2
456.072,bid,68,11
457.002,ask,383,1
457.002,bid,227,2
458.025,ask,736,5
458.025,bid,227,2
459.079,ask,368,5
459.079,bid,96,2
460.133,ask,557,5
460.133,bid,120,10
461.063,ask,586,2
461.063,bid,34,2
462.055,ask,631,2
462.055,bid,34,2
463.016,ask,631,2
463.016,bid,33,3
464.008,ask,705,2
464.008,bid,107,3
465.0,ask,502,2
465.0,bid,14,10
466.116,ask,490,5
466.116,bid,121,10
467.139,ask,384,5
467.139,bid,137,2
468.069,ask,636,5
468.069,bid,176,5
469.061,ask,518,5
469.061,bid,53,10
470.053,ask,612,3
470.053,bid,158,10
471.107,ask,651,3
471.107,bid,293,2
472.068,ask,436,5
472.068,bid,35,2
473.215,ask,374,8
473.215,bid,35,2
474.114,ask,618,5
474.114,bid,18,10
475.726,ask,405,3
475.726,bid,312,2
476.036,ask,520,5
476.036,bid,212,10
477.09,ask,369,1
477.09,bid,39,5
478.175,ask,369,1
478.175,bid,24,10
479.012,ask,699,2
479.012,bid,39,5
480.004,ask,585,3
480.004,bid,129,8
481.027,ask,585,3
481.027,bid,99,10
482.112,ask,383,1
482.112,bid,98,8
483.042,ask,673,5
483.042,bid,98,8
484.034,ask,547,2
484.034,bid,63,8
485.057,ask,381,2
485.057,bid,32,8
486.018,ask,379,2
486.018,bid,147,2
487.072,ask,705,3
487.072,bid,147,2
488.064,ask,705,3
488.064,bid,35,8
489.087,ask,736,3
489.087,bid,122,5
490.017,ask,680,3
490.017,bid,13,8
491.04,ask,371,2
491.04,bid,271,8
492.094,ask,369,1
492.094,bid,242,2
493.086,ask,727,1
493.086,bid,290,8
494.109,ask,771,3
494.109,bid,16,1
495.194,ask,771,6
495.194,bid,16,1
496.093,ask,771,6
496.093,bid,3,7
497.085,ask,387,1
497.085,bid,126,3
498.015,ask,771,3
498.015,bid,74,15
499.038,ask,771,3
499.038,bid,74,15
500.061,ask,625,3
500.061,bid,9,15
501.084,ask,380,5
501.084,bid,9,15
502.138,ask,734,3
502.138,bid,7,1
503.006,ask,677,3
503.006,bid,84,3
504.029,ask,387,4
504.029,bid,60,3
505.021,ask,387,4
505.021,bid,5,7
506.075,ask,373,5
506.075,bid,54,15
507.036,ask,370,5
507.036,bid,56,3
508.059,ask,369,5
508.059,bid,191,15
509.02,ask,368,3
509.02,bid,69,15
510.012,ask,602,1
510.012,bid,206,3
511.004,ask,751,3
511.004,bid,11,7
512.058,ask,373,4
512.058,bid,151,15
513.081,ask,575,5
513.081,bid,151,15
514.011,ask,464,5
514.011,bid,151,15
515.003,ask,450,1
515.003,bid,25,3
516.243,ask,367,4
516.243,bid,15,1
517.018,ask,674,3
517.018,bid,110,1
518.01,ask,365,4
518.01,bid,84,15
519.188,ask,740,1
519.188,bid,40,1
520.118,ask,363,4
520.118,bid,40,1
521.017,ask,760,5
521.017,bid,43,4
522.009,ask,503,2
522.009,bid,56,2
523.187,ask,373,1
523.187,bid,31,2
524.024,ask,369,2
524.024,bid,23,4
525.078,ask,722,2
525.078,bid,100,1
526.008,ask,368,2
526.008,bid,100,1
527.0,ask,370,1
527.0,bid,36,2
528.023,ask,658,5
528.023,bid,36,4
529.046,ask,376,1
529.046,bid,337,8
530.069,ask,765,4
530.069,bid,166,8
531.03,ask,765,4
531.03,bid,166,8
532.022,ask,377,2
532.022,bid,76,3
533.169,ask,377,2
533.169,bid,152,3
534.223,ask,494,5
534.223,bid,338,1
535.06,ask,377,2
535.06,bid,364,11
536.114,ask,739,1
536.114,bid,143,8
537.013,ask,745,1
537.013,bid,35,3
538.005,ask,463,4
538.005,bid,35,3
539.028,ask,373,4
539.028,bid,35,3
540.082,ask,691,1
540.082,bid,14,3
541.105,ask,369,4
541.105,bid,14,3
542.097,ask,369,4
542.097,bid,82,3
543.12,ask,369,4
543.12,bid,154,4
544.05,ask,369,4
544.05,bid,54,4
545.011,ask,367,2
545.011,bid,87,4
546.096,ask,367,2
546.096,bid,41,4
547.026,ask,711,4
547.026,bid,8,4
548.018,ask,382,1
548.018,bid,8,4
549.01,ask,730,4
549.01,bid,39,4
550.095,ask,382,1
550.095,bid,18,2
551.025,ask,623,4
551.025,bid,282,4
552.048,ask,518,4
552.048,bid,282,4
553.04,ask,518,4
553.04,bid,209,2
554.001,ask,518,4
554.001,bid,30,4
555.024,ask,518,4
555.024,bid,167,4
556.016,ask,372,4
556.016,bid,348,2
557.07,ask,367,4
557.07,bid,68,4
558.031,ask,748,4
558.031,bid,91,2
559.023,ask,376,1
559.023,bid,355,3
560.108,ask,569,4
560.108,bid,272,4
561.162,ask,767,4
561.162,bid,259,4
562.061,ask,510,4
562.061,bid,233,4
563.084,ask,594,4
563.084,bid,219,2
564.045,ask,477,4
564.045,bid,219,2
565.006,ask,594,4
565.006,bid,301,2
566.463,ask,379,6
566.463,bid,222,3
567.052,ask,636,4
567.052,bid,123,2
568.137,ask,636,4
568.137,bid,362,10
569.098,ask,754,4
569.098,bid,5,3
570.152,ask,754,4
570.152,bid,148,3
571.268,ask,754,4
571.268,bid,32,2
572.136,ask,553,4
572.136,bid,345,3
573.035,ask,678,4
573.035,bid,32,2
574.058,ask,672,4
574.058,bid,219,3
575.174,ask,610,4
575.174,bid,139,3
576.011,ask,605,4
576.011,bid,156,2
577.003,ask,542,1
577.003,bid,130,3
578.026,ask,628,4
578.026,bid,2,2
579.018,ask,590,4
579.018,bid,106,3
580.01,ask,373,2
580.01,bid,98,1
581.002,ask,703,3
581.002,bid,232,1
582.025,ask,661,1
582.025,bid,13,15
583.079,ask,380,4
583.079,bid,13,15
584.071,ask,797,4
584.071,bid,77,3
585.156,ask,797,4
585.156,bid,85,2
586.21,ask,378,4
586.21,bid,91,6
587.016,ask,376,4
587.016,bid,1,3
588.008,ask,609,4
588.008,bid,124,2
589.031,ask,786,4
589.031,bid,92,2
590.085,ask,647,4
590.085,bid,56,6
591.046,ask,368,1
591.046,bid,9,3
592.038,ask,374,2
592.038,bid,64,6
593.03,ask,367,1
593.03,bid,64,6
594.022,ask,378,2
594.022,bid,307,2
595.231,ask,383,5
595.231,bid,147,6
596.006,ask,375,9
596.006,bid,83,6
597.246,ask,740,1
597.246,bid,75,2
598.021,ask,375,2
598.021,bid,83,6
599.075,ask,375,2
599.075,bid,352,3
600.005,ask,376,5
600.005,bid,178,2
601.059,ask,370,4
601.059,bid,140,3
602.02,ask,361,4
602.02,bid,23,3
603.074,ask,372,6
603.074,bid,291,2
604.035,ask,371,2
604.035,bid,346,6
605.027,ask,368,1
605.027,bid,33,4
606.081,ask,368,1
606.081,bid,33,4
607.042,ask,678,4
607.042,bid,6,3
608.189,ask,612,4
608.189,bid,55,3
609.057,ask,361,5
609.057,bid,158,4
610.018,ask,797,1
610.018,bid,67,2
611.041,ask,612,4
611.041,bid,119,6
612.002,ask,644,5
612.002,bid,58,4
613.087,ask,764,5
613.087,bid,119,6
614.11,ask,752,4
614.11,bid,119,6
615.288,ask,736,4
