Type,adjusted_time_minutes,ASK Price Predicted
ask,10021,95.96841
ask,10022,95.7987
ask,10023,96.321266
ask,10024,96.329185
ask,10025,96.01225
ask,10026,95.81895
ask,10027,96.01576
ask,10028,95.81327
ask,10029,96.318565
ask,10030,96.32912
ask,10031,96.01645
ask,10032,96.46832
ask,10033,95.97189
ask,10034,95.79061
ask,10035,95.6762
ask,10036,95.589554
ask,10037,95.84531
ask,10038,95.68765
ask,10039,95.906494
ask,10040,95.73499
ask,10041,95.622925
ask,10042,96.19652
ask,10043,95.92422
ask,10044,95.74649
ask,10045,96.28566
ask,10046,95.98989
ask,10047,96.437614
ask,10048,96.07002
ask,10049,95.85514
ask,10050,95.72022
ask,10051,95.62242
ask,10052,95.548645
ask,10053,95.49481
ask,10054,96.100624
ask,10055,95.85261
ask,10056,96.33844
ask,10057,96.01146
ask,10058,95.62444
ask,10059,96.21169
ask,10060,95.94205
ask,10061,95.757286
ask,10062,96.290405
ask,10063,95.99158
ask,10064,96.115395
ask,10065,95.95618
ask,10066,95.60971
ask,10067,95.54992
ask,10068,96.14783
ask,10069,96.52873
ask,10070,96.136696
ask,10071,95.865425
ask,10072,96.0544
ask,10073,95.845375
ask,10074,95.83059
ask,10075,95.68952
ask,10076,96.237595
ask,10077,96.27175
ask,10078,96.618355
ask,10079,96.247475
ask,10080,96.62433
ask,10081,96.23122
ask,10082,96.28953
ask,10083,96.32982
ask,10084,96.348175
ask,10085,96.03807
ask,10086,96.48113
ask,10087,95.80557
ask,10088,96.00093
ask,10089,96.45496
ask,10090,96.09583
ask,10091,95.865906
ask,10092,96.37008
ask,10093,96.3694
ask,10094,96.0434
ask,10095,96.16287
ask,10096,96.56435
ask,10097,96.818954
ask,10098,96.34551
ask,10099,96.04943
ask,10100,95.86052
ask,10101,95.722374
ask,10102,95.93956
ask,10103,95.753
ask,10104,95.6299
ask,10105,95.55465
ask,10106,95.502495
ask,10107,95.383934
ask,10108,96.0274
ask,10109,95.80366
ask,10110,95.981224
ask,10111,96.11214
ask,10112,96.19775
ask,10113,95.935715
ask,10114,95.767975
ask,10115,95.6579
ask,10116,95.57713
ask,10117,95.5167
ask,10118,95.384346
ask,10119,95.3841
ask,10120,96.02576
ask,10121,95.668396
ask,10122,95.57128
ask,10123,96.16556
ask,10124,96.226105
ask,10125,96.58737
ask,10126,96.19428
ask,10127,95.94512
ask,10128,95.78679
ask,10129,95.6709
ask,10130,96.226944
ask,10131,95.94046
ask,10132,96.39891
ask,10133,96.06783
ask,10134,96.49598
ask,10135,96.78211
ask,10136,96.64362
ask,10137,96.2423
ask,10138,95.96316
ask,10139,95.79866
ask,10140,95.56882
ask,10141,95.513435
ask,10142,95.49976
ask,10143,95.77787
ask,10144,95.43231
ask,10145,95.41562
ask,10146,95.73154
ask,10147,96.25433
ask,10148,96.27436
ask,10149,95.97917
ask,10150,96.123085
ask,10151,96.539894
ask,10152,96.16016
ask,10153,96.45162
ask,10154,96.43485
ask,10155,96.09763
ask,10156,95.88094
ask,10157,96.38097
ask,10158,95.926476
ask,10159,95.75203
ask,10160,95.64627
ask,10161,96.050514
ask,10162,96.1461
ask,10163,95.88779
ask,10164,95.73057
ask,10165,95.66834
